combo,id,site,dept,sex,age,wing,tars,mass,totalmass,time,hour,min,day,month,year,geo,2014,season,pc1,pc2
mOxYY,1,2,18.5,2,1,82,22.9,15.4,15.4,7.8,7,45,28,9,2012,2,1,2,-0.656273177,0.751432957
LWxmW,5,2,16,2,1,79,22.3,15.5,15.5,7.5,7,30,29,9,2012,2,2,2,-0.120499727,0.088111141
YOxmW,8,2,23,2,1,73,21.9,14.6,14.6,10,10,0,30,9,2012,2,2,2,0.151650329,-0.439135648
LLxmY,45,2,18.5,2,1,75,21.7,13.5,13.5,7.5,7,30,25,10,2012,2,2,2,0.394015662,-0.596468737
LOxmB,49,2,0,1,1,77,22.4,15,15,8,8,0,7,11,2012,2,2,2,-0.262940455,0.145519624
LYxmB,54,2,15,1,1,80,23.6,15.1,15.1,7.8,7,45,8,11,2012,2,2,2,-1.398261539,1.408389074
WYxmY,71,2,21,2,1,76,22.4,14.5,14.5,7,7,0,30,3,2014,2,1,1,-0.284198516,0.124261563
WPxmO,72,2,20,2,1,75,,15.3,15.3,7.3,7,15,14,2,2013,2,2,2,#N/A,#N/A
YWxmY,83,1,23,2,1,76,21.8,15.6,15.6,7,7,0,5,3,2013,2,2,2,0.315349118,-0.475286071
GYxmG,84,1,19,2,1,75.5,21.4,15.3,15.3,7,7,0,7,3,2013,2,2,2,0.704418509,-0.885613523
BOxRm,89,2,23,2,1,78,22.4,14.9,14.9,7.7,7,40,1,11,2013,2,2,1,-0.241682394,0.166777685
OBxRm,93,2,16,1,1,80,22.4,15.9,15.9,6.5,6,30,5,11,2013,2,2,1,-0.641380816,0.566476107
RBxNYm,125,1,10,1,1,80,23.8,18,18,7,7,0,22,3,2014,2,1,1,-1.098487722,1.108615257
YmxRB,127,1,8,1,1,79,21.8,16.1,16.1,8.8,8,45,31,10,2013,2,2,1,0.457789845,-0.532694554
OmxBRN,129,1,8,1,1,80,20.9,14.8,15.4,7,7,0,7,2,2014,1,1,1,2.077841596,-2.110230182
BmxRL,131,1,6.5,2,1,76,22.3,16.4,16.4,9.5,9,30,22,3,2014,2,1,1,-0.18427391,0.024336957
BOxOm,140,2,16,1,1,77,22.1,13.5,13.5,8.8,8,45,28,1,2012,2,2,3,0.036833362,-0.154254193
BRxRm,145,2,18.5,2,1,80,22.4,15.5,15.5,10.3,10,15,28,1,2012,2,2,3,-0.199166272,0.209293807
OYxBm,151,2,20,2,1,77,21.6,13.5,13.5,9,9,0,31,1,2012,2,2,3,0.53645639,-0.653877221
WLWxBm,162,2,21,2,1,79,22.3,14.5,15.1,7.5,7,30,22,2,2014,1,1,1,-0.120499727,0.088111141
RYxBm,163,2,1,1,1,82,22.4,16,16,9.5,9,30,7,2,2012,2,2,3,-0.156650149,0.251809929
BmxYY,209,1,20,2,1,78,22,16.1,16.1,8,8,0,15,11,2013,2,2,1,0.158016029,-0.232920737
GmxGPN,245,2,16,1,2,78,20,14.6,15.2,6.8,6,45,11,2,2014,1,1,1,1.556960507,-1.631865215
YmxYO,291,1,13,1,1,80,24.2,15.1,15.1,7,7,0,18,3,2014,2,1,1,-1.7767019,1.829345557
BRmxBY,298,1,16,1,1,81,21.9,15.1,15.7,8.8,8,45,17,2,2014,1,1,1,0.300456756,-0.290329221
GmxYRW,302,1,4.5,2,1,78,22.1,16.1,16.7,7.3,7,20,8,2,2014,1,1,1,0.058091423,-0.132996132
NmxWLY,306,1,6.5,2,2,76.5,21.9,15.2,15.8,6.9,6,55,8,2,2014,1,1,1,0.226053543,-0.364732434
BmxGY,318,2,21,2,2,76.5,22.9,14,14,17.3,17,20,6,12,2013,2,2,1,-0.773192513,0.634513621
RBmxWL,319,2,15,2,1,78,22.9,15.3,15.9,11.4,11,25,11,2,2014,1,1,1,-0.751934452,0.655771682
YBxPN.2,327,1,22,2,1,77,22.5,15,15.6,18.2,18,10,4,2,2014,1,1,1,-0.462789666,0.345368835
mYxBY,329,1,6.5,2,1,76.5,22.7,14.3,14.3,8.3,8,20,5,2,2014,2,1,1,-0.484047727,0.324110774
YRBxB,330,1,19,2,1,76,23.6,14.9,15.5,8.5,8,30,5,2,2014,1,1,1,-1.483293783,1.32335683
mLxWG,331,1,6.5,2,1,79.5,22.2,15,15,9.7,9,40,5,2,2014,2,1,1,-0.009946091,-0.001184435
GRYxY,332,1,2,1,1,80.5,21.1,15.9,16.5,9.9,9,55,5,2,2014,1,1,1,16.51194788,14.32236821
mNxLN,337,1,10,1,1,80.5,22.9,17.1,17.1,18.5,18,30,6,2,2014,2,1,1,-0.998563116,1.008690652
RYxWN,339,1,9,1,2,80,22.6,15.1,15.7,6.8,6,50,7,2,2014,1,1,1,-0.399015483,0.409143018
LPNxL,345,2,7,1,1,79.5,22.8,15.7,16.3,8.7,8,40,9,2,2014,1,1,1,-0.698789299,0.708916835
RYxGN,346,2,23,2,2,74,22.2,15,15.6,10.3,10,20,9,2,2014,1,1,1,0.083612815,-0.307323951
OxBRN,347,2,18.5,2,2,78,21.2,13.5,14.1,6.7,6,40,10,2,2014,1,1,1,0.957412873,-1.032317582
WLxLN,348,2,17,1,2,79,21.7,14.5,14.5,7.4,7,25,10,2,2014,2,1,1,0.479047906,-0.511436493
BYRxW,349,2,18.5,2,2,77,21.4,14.2,14.8,10.3,10,15,10,2,2014,1,1,1,0.736305601,-0.853726432
RYxYN,354,2,8,1,1,80,23,15.6,16.2,10.5,10,30,11,2,2014,1,1,1,-0.798713905,0.808841441
GxYRN,358,2,8,2,2,75,21.1,13.2,13.8,7.7,7,40,12,2,2014,1,1,1,0.993563296,-1.196016371
BROxW,363,2,21,2,2,76,22.2,14.7,15.3,17.3,17,15,13,2,2014,1,1,1,-0.683896938,0.523959985
WLOxN,365,2,22,2,2,75.5,22.2,14.4,15,18.3,18,20,13,2,2014,1,1,1,-0.094978335,-0.086216679
LxLWN,366,2,21,2,2,76,22.4,14.7,15.3,7.3,7,20,14,2,2014,1,1,1,-0.284198516,0.124261563
GxWON,370,2,18.5,2,2,75,22.5,13.4,14,9,9,0,14,2,2014,1,1,1,-0.405381183,0.202928107
NxBRN.A,371,2,7,2,2,78.5,20.8,13.4,14,9.5,9,30,14,2,2014,1,1,1,1.367740326,-1.421386974
LxWON,372,2,4.5,2,2,77,22.1,13.9,14.5,18.2,18,10,14,2,2014,1,1,1,0.036833362,-0.154254193
YBRxB,373,2,4.5,1,2,75.5,21.8,15.3,15.9,18.5,18,30,14,2,2014,1,1,1,0.304720087,-0.485915101
BRxGN,406,2,16,1,2,79.5,22.9,16.8,17.4,7.3,7,20,22,2,2014,1,1,1,-0.70941833,0.698287805
WLGxW,407,2,9,1,1,79,22,15.3,15.9,18,18,0,22,2,2014,1,1,1,0.17927409,-0.211662676
OWBxW,408,1,21,2,2,77.5,21.6,15.2,15.8,8,8,0,23,2,2014,1,1,1,0.54708542,-0.64324819
GxBRN,409,1,0,1,1,79,23.2,15.8,16.4,8.2,8,10,23,2,2014,1,1,1,-1.4195196,1.387131013
WxBRN,410,1,17.5,2,2,77.5,21.1,14.8,15.4,8.3,8,20,23,2,2014,1,1,1,1.046708448,-1.142871218
YRYxY.J,411,1,8,1,1,79.5,22.3,16.2,16.8,9.6,9,35,23,2,2014,1,1,1,-0.109870697,0.098740171
OxLWN,412,1,6.5,1,2,78,22.8,17.5,18.1,9.9,9,55,23,2,2014,1,1,1,-0.941154633,0.866249924
WOWxW,428,3,0,1,1,78,23.7,16.7,17.3,8,8,0,28,2,2014,1,1,1,-1.340853055,1.265948346
WBRxN,429,3,0,1,1,81,22.9,16,16.6,8.2,8,10,28,2,2014,1,1,1,-0.677531238,0.730174896
LxWO,431,3,18.5,2,1,80,23.4,16,16.6,8.8,8,45,28,2,2014,1,1,1,-1.198412327,1.208539863
RYxLL,433,3,3,2,2,77,21.9,16.5,17.1,10,10,0,28,2,2014,1,1,1,-0.473418696,0.334739805
OWNxN,435,3,8,1,2,74,21.6,14.9,15.5,8,8,0,1,3,2014,1,1,1,-0.116236396,-0.10747474
WWxBR,438,3,21,2,2,76,22.6,16.1,16.7,10.5,10,30,1,3,2014,1,1,1,-0.473418696,0.334739805
LWLxL,439,3,6,1,2,83,22.9,16.5,17.1,10.8,10,50,1,3,2014,1,1,1,-0.635015116,0.772691018
BxWO,440,3,9,2,2,77,22.5,15.6,16.2,11,11,0,1,3,2014,1,1,1,-0.36286506,0.24544423
WLxBN,445,3,0,1,1,79,22.4,19,19.6,8.1,8,5,2,3,2014,1,1,1,0.100607545,-0.09048001
YRYxB,446,3,18.5,1,1,78,23.2,16.9,17.5,8.7,8,40,2,3,2014,1,1,1,-1.041079238,0.96617453
RmxWW,447,1,16,2,1,76,22.6,18.4,18.4,10,10,0,4,3,2014,2,1,1,-0.484047727,0.324110774
mOxRY,452,1,23,2,1,79,25.1,18.2,18.2,10.3,10,20,8,3,2014,2,1,1,-2.918388683,2.886000097
mRxYR,453,1,21,2,1,75,22.9,16.6,16.6,11.5,11,30,8,3,2014,2,1,1,-0.805079605,0.60262653
mWxWR,449,1,18.5,2,1,79,22.5,16.7,16.7,9.3,9,15,8,3,2014,2,1,1,-0.320348938,0.287960352
mYxBB,451,1,21,2,2,77,22.3,15.5,15.5,9.8,9,45,8,3,2014,2,1,1,-0.163015849,0.045595018
mOxWR,455,3,8,2,1,78.5,22.4,17.5,17.5,8.3,8,15,24,3,2014,2,1,1,-0.231053363,0.177406716
mRxYY,456,3,20,2,2,77,21.5,13.9,13.9,8.8,8,50,24,3,2014,2,1,1,0.636380995,-0.753801826
mRxRN,460,2,8,1,2,80,22,16.1,16.1,8.8,8,45,1,4,2014,2,1,1,0.200532151,-0.190404615
