ringer,tr,ring,,bird,birdid,recap,day,month,year,season,location,resight,logger,type,harness,span,age,sex,fat,pec,wing,tail,mass1,mass2,hr,min,moult,bodymoult,headmoult,billlength,narestotip,billheight,billwidth,medcovs,greatercovs,maxtar,mintar,mouth,featherwear,capmethod
EMB,N,AP88401,,YYmO,1,1,28,9,2012,2,2,Y,none,,,,1,2,0,1,82,,15.4,,7,45,O,0,0,10.7,7.9,3.5,3.7,,,25.8,22.9,,,N
EMB,N,AP88402,,YBmB,2,1,28,9,2012,2,2,Y,none,,,,2,1,0,1,79,,15,,8,15,O,0,0,10.9,7.5,3.7,3.9,,,24.8,22.3,,,N
EMB,N,AP88403,,WOmO,3,1,28,9,2012,2,2,Y,none,,,,2,2,0,1,75,,13.3,,8,0,O,0,0,10.2,7.8,3.6,3.5,,,24,21.7,,,T
EMB,N,AP88404,,BOmY,4,1,28,9,2012,2,2,N,none,,,,,2,0,1,79,,13.7,,8,45,O,0,0,10.5,7.8,3.6,3.9,,,23.3,21.1,,,N
EMB,N,AP88405,,LWmW,5,1,29,9,2012,2,2,Y,none,,,,2,2,0,1,79,,15.5,,7,30,O,0,0,,,,,,,24.9,22.3,,,T
EMB,N,AP88406,,BBmL,6,1,29,9,2012,2,2,Y,none,,,,1,1,0,1,77,,13.8,,9,30,O,0,0,10.5,7.1,3.4,3.6,,,23.7,21.5,,,T
EMB,N,AP88407,,OOmPxA,7,1,30,9,2012,2,2,Y,none,,,,1,1,0,1,78,,14.7,,8,30,O,0,0,10.8,7.6,3.7,3.9,,,24,21.7,,,T
EMB,N,AP88408,,YOmW,8,1,30,9,2012,2,2,Y,none,,,,2,2,0,1,73,,14.6,,10,0,O,0,0,,,,,,,23.9,21.9,,,T
EMB,N,AP88410,,YPmY,9,1,11,10,2012,2,2,Y,none,,,,1,1,0,2,80,,15.5,,8,30,O,0,0,11.2,8.3,3.7,3.6,,,25.4,22.9,,0,T
EMB,N,AP88411,,WBmG,10,1,11,10,2012,2,2,Y,none,,,,1,1,0,2,80,,15.1,,9,45,O,0,0,10.1,7.6,3.2,3.2,,,24.6,21.4,,L,T
EMB,N,AP88412,,GOmW,11,1,11,10,2012,2,2,Y,none,,,,2,1,0,3,77,,14.9,,10,30,O,0,0,11.2,8.5,3.5,3.8,,,24.4,21.6,,L,T
EMB,N,AP88413,,YGmP,12,1,12,10,2012,2,4,Y,none,,,,2,,0,1,78,,15,,7,15,O,0,0,10.9,7.9,3.4,3.5,,,24.9,22.2,,H,T
EMB,N,AP88414,,WPmW,13,1,12,10,2012,2,4,Y,none,,,,1,2,0,2,77,,13.9,,7,45,O,1,0,10.3,9.4,3.8,3.6,,,23.2,20.8,,L,T
EMB,N,AP88415,,YLmW,14,1,12,10,2012,2,4,Y,none,,,,1,1,0,1,84,,15.1,,8,0,O,0,0,10.7,7.8,3.4,4,,,25.9,23.2,,L,T
EMB,N,AP88416,,OWmBxB,15,1,12,10,2012,2,4,Y,none,,,,2,2,0,2,77,,14.7,,8,45,O,0,0,11.1,7.4,3.5,3.4,,,24.4,22.1,,H,T
EMB,N,AP88417,,LOmW,16,1,12,10,2012,2,4,Y,none,,,,2,2,0,2,79,,15.7,,9,15,O,0,0,12,8.8,3.5,4.2,,,24.7,22.1,,H,T
EMB,N,AP88418,,PYmO,17,1,12,10,2012,2,4,Y,none,,,,1,1,0,2,79,,14.7,,9,30,O,1,0,10.2,7.1,3.4,3.7,,,24.4,22,,0,T
EMB,N,AP88419,,YOmYxB,18,1,12,10,2012,2,4,N,none,,,,2,2,0,1,75,,13.5,,9,45,O,0,0,11.3,8.1,3.4,3.7,,,23.4,21,,H,T
EMB,N,AP88420,,GWmL,19,1,13,10,2012,2,4,Y,none,,,,2,2,0,2,78,,14,,7,0,O,1,0,10.5,7.6,3.3,3.3,,,24.2,21.5,,H,T
EMB,N,AP88421,,LLmO,20,1,13,10,2012,2,4,Y,none,,,,1,1,0,1,81,,14.6,,7,15,O,0,0,10.8,7.6,3.5,3.7,,,22.9,20.8,,0,T
EMB,N,AP88422,,WWmO,21,1,13,10,2012,2,4,Y,none,,,,1,1,0,2,76,,15,,8,15,O,1,0,11.1,8,3.6,3.7,,,24.4,22.1,,L,T
EMB,N,AP88423,,PWmL,22,1,13,10,2012,2,4,Y,none,,,,2,1,0,2,80,,15.5,,8,15,O,1,0,10.7,7.9,3.5,3.7,,,24.9,22.3,,H,T
EMB,N,AP88424,,OOmPxB,23,1,13,10,2012,2,4,Y,none,,,,1,1,0,1,80,,15.8,,8,30,O,0,0,11.5,7.6,3.4,3.7,,,25.1,22.5,,L,T
EMB,N,AP88425,,GYmY,24,1,13,10,2012,2,4,Y,none,,,,1,2,0,2,80,,14.4,,9,45,O,0,0,10.2,7.6,3.3,3.6,,,24.5,22.1,,L,T
EMB,N,AP88426,,YYmW,25,1,13,10,2012,2,4,Y,none,,,,1,2,0,2,77,,15.8,,10,0,O,0,0,11.1,7.7,3.5,3.8,,,23.8,21.2,,L,T
EMB,N,AP88427,,YWmYxB,26,1,15,10,2012,2,4,Y,none,,,,1,1,0,2,82,,15.3,,7,30,O,0,0,11.9,8.7,3.4,4.2,,,24.4,21.9,,M,T
EMB,N,AP88428,,PPmG,27,1,15,10,2012,2,4,Y,none,,,,1,1,0,2,81,,15.3,,8,0,O,0,0,10.4,7.1,3.3,3.7,,,25.2,23.1,,L,T
EMB,N,AP88429,,WBmP,28,1,15,10,2012,2,4,N,none,,,,2,1,0,2,78,,14,,8,30,O,0,0,12,8.6,3.3,4,,,24.5,22.4,,H,T
EMB,N,AP88430,,LOmL,29,1,15,10,2012,2,4,N,none,,,,2,1,0,1,79,,15.6,,9,0,O,0,0,11.4,8.6,3.4,4,,,25.1,22.5,,H,T
EMB,N,AP88431,,GYmGxB,30,1,15,10,2012,2,4,Y,none,,,,1,2,0,2,76,,13.8,,9,0,O,0,0,10.8,8,3.2,3.6,,,24.5,21.7,,L,T
EMB,N,AP88432,,OOmB,31,1,16,10,2012,2,6,N,none,,,,2,1,0,2,80,,15.2,,7,15,O,0,0,11.6,8.3,3.7,4.2,,,23.9,21.6,,H,T
EMB,N,AP88433,,YYmP,32,1,16,10,2012,2,6,Y,none,,,,2,2,0,1,77,,13.6,,7,45,O,2,0,11.6,8.2,3.7,4.2,,,25.5,23,,H,T
EMB,N,AP88434,,LWmO,33,1,16,10,2012,2,6,Y,none,,,,2,1,0,1,78,,13.9,,8,0,O,0,0,11.3,8.6,3.9,4.2,,,24.7,22,,H,T
EMB,N,AP88435,,LPmO,34,1,16,10,2012,2,6,Y,none,,,,1,1,0,2,77,,15.4,,9,0,O,1,0,11,8,3.6,3.8,,,24.4,21.3,,L,T
EMB,N,AP88436,,YLmB,35,1,16,10,2012,2,6,Y,none,,,,1,1,0,1,81,,15.2,,9,0,O,1,0,11.2,8.1,3.4,3.9,,,25.6,23,,0,T
EMB,N,AP88437,,BPmY,36,1,16,10,2012,2,6,Y,none,,,,2,1,0,1,79,,14.5,,9,15,O,0,0,11.6,8,3.6,4,,,25.2,22.5,,H,T
EMB,N,AP88438,,OWmY,37,1,16,10,2012,2,6,Y,none,,,,1,2,0,2,79,,15.8,,9,45,O,0,0,11.1,8,3.7,3.9,,,25.2,22.4,,L,T
EMB,N,AP88439,,BLmL,38,1,17,10,2012,2,6,Y,none,,,,,,0,2,79,,14,,7,30,O,0,0,10.8,7.5,3.4,4,,,25.2,22.5,,H,T
EMB,N,AP88440,,POmW,39,1,17,10,2012,2,6,Y,none,,,,1,1,0,2,79,,14.6,,7,45,O,0,0,11.2,8.1,3.7,3.9,,,25.6,22.8,,0,T
EMB,N,AP88441,,WWmL,40,1,17,10,2012,2,6,Y,none,,,,2,2,0,1,74,,14,,8,15,O,0,0,10.5,8.4,3.8,4,,,24.8,22.1,,M,T
EMB,N,AP88442,,WLmG,41,1,20,10,2012,2,6,Y,none,,,,2,1,0,1,79,,14,,9,0,O,1,0,10.6,7.9,3.5,3.9,,,24.9,22.2,,H,T
EMB,N,AP88443,,OLmO,42,1,22,10,2012,2,4,Y,none,,,,2,1,0,1,81,,15.1,,8,30,O,2,1,11.8,9.1,3.8,4.5,,,25.3,22.5,,H,T
EMB,N,AP88444,,GWmB,43,1,22,10,2012,2,4,Y,none,,,,1,1,0,1,78,,15.6,,9,30,O,0,0,10.6,8.2,3.8,3.8,,,24.3,21.7,,L,T
EMB,N,AP88445,,WOmL,44,1,24,10,2012,2,2,N,none,,,,2,2,1,2,81,,15.4,,8,15,O,0,0,12.7,8.6,3.6,3.9,,,24.3,21.7,,H,N
EMB,N,AP88446,,LLmY,45,1,25,10,2012,2,2,Y,none,,,,2,2,0,2,75,,13.5,,7,30,O,1,0,,,,,,,24.2,21.7,,H,N
EMB,N,AP88449,,WYmG,46,1,29,10,2012,2,6,N,none,,,,1,1,0,2,80,,14.5,,8,15,O,1,0,,,,,,,,,,0,T
EMB,N,AP88461,,BWmP,47,1,7,11,2012,2,2,Y,none,,,,2,1,0,1,79,,14.8,,7,0,O,0,0,9.9,7.9,3.5,3.9,,,25.7,22.3,,H,T
EMB,R,AP88461,,BWOxmP,47,2,11,2,2014,3,2,,56,LONG,TIE,99.5,1,1,1,1,79.5,M,16.6,17.2,8,10,O,some BP,,,,,,AD,,,,BLACK,L,N
EMB,N,AP88462,,YOmYxA,48,1,7,11,2012,2,2,N,none,,,,2,1,0,1,78,,14.2,,7,15,O,0,0,12,8.8,3.6,4.5,,,25.5,23.1,,M,T
EMB,N,AP88463,,LOmB,49,1,7,11,2012,2,2,Y,none,,,,1,1,0,2,77,,15,,8,0,O,0,0,10.6,7.5,3.9,3.7,,,25.1,22.4,,M,T
EMB,N,AP88464,,YWmL,50,1,7,11,2012,2,2,Y,none,,,,2,1,0,1,81,,15.3,,8,30,O,0,0,10,8.1,3.7,3.8,,,25.7,22.9,,M,T
EMB,N,AP88465,,WGmW,51,1,7,11,2012,2,2,Y,none,,,,1,1,0,1,78,,14.1,,8,45,O,0,0,10.8,8,3.7,3.8,,,24.4,21.8,,L,T
EMB,N,AP88466,,BLmY,52,1,7,11,2012,2,2,Y,none,,,,2,1,0,1,79,,15.4,,9,0,O,0,0,11.2,8.1,3.5,4,,,25.7,22.8,,H,T
EMB,N,AP88467,,WWmP,53,1,8,11,2012,2,2,N,none,,,,1,1,0,2,80,,15.8,,6,45,O,0,0,10.9,8.2,3.8,4.6,,,25.1,22.6,,L,T
EMB,N,AP88468,,LYmB,54,1,8,11,2012,2,2,Y,none,,,,2,1,0,1,80,,15.1,,7,45,O,0,0,11.3,8.6,3.6,4.2,,,26.8,23.6,,M,T
EMB,N,AP88469,,PWmB,55,1,8,11,2012,2,2,Y,none,,,,2,1,0,1,78,,14.7,,8,0,O,0,0,10.2,7.3,3.7,3.9,,,25.5,22.9,,H,T
EMB,N,AP88470,,YBmG,56,1,8,11,2012,2,2,Y,none,,,,1,1,0,1,79,,15.2,,8,15,O,0,0,10.9,7.9,3.4,4.3,,,24.7,22,,L,T
EMB,N,AP88471,,WOmB,57,1,10,11,2012,2,4,Y,none,,,,1,1,0,1,81,,13.5,,7,30,O,1,0,10.3,7.3,3.5,3.8,,,24.2,21.7,,L,T
EMB,N,AP88472,,GBmY,58,1,10,11,2012,2,4,Y,none,,,,1,1,0,1,81,,15.5,,7,45,O,0,0,10.5,7.3,3.7,4.3,,,26.1,23.1,,M,T
EMB,N,AP88473,,OOmY,59,1,10,11,2012,2,4,Y,none,,,,2,2,0,2,80,,14.7,,7,45,O,0,0,11,8.3,3.7,4,,,25,21.7,,M,T
EMB,N,AP88474,,YYmB,60,1,10,11,2012,2,4,Y,none,,,,2,1,0,2,80,,15,,8,0,O,1,0,11.6,8.1,3.7,4.1,,,25.5,22.9,,M,T
EMB,N,AP88475,,mOBB,61,1,10,11,2012,2,4,N,none,,,,2,1,0,1,82,,14.8,,8,15,O,1,0,11.5,8,3.8,3.8,,,23.3,22.6,,H,T
EMB,N,AP88477,,OLmY,62,1,12,11,2012,2,6,Y,none,,,,2,2,0,2,78,,15.5,,7,0,O,1,0,11.3,8.3,3.9,4.6,,,25.5,22.9,,H,T
EMB,N,AP88478,,YBmW,63,1,12,11,2012,2,6,Y,none,,,,2,1,0,2,78,,14.8,,7,15,O,0,0,11,8.3,3.8,3.9,,,25.1,22.3,,M,T
EMB,N,AP88479,,YWmG,64,1,12,11,2012,2,6,Y,none,,,,,,0,2,81,,15.1,,7,15,O,0,0,11.8,8.2,3.8,3.8,,,25.2,22.4,,L,T
EMB,N,AP88480,,BBmY,65,1,12,11,2012,2,6,N,none,,,,2,2,0,1,79,,13.9,,8,0,O,0,0,10.7,7.9,3.9,3.9,,,24.4,22.1,,H,T
EMB,N,AP88481,,BYmB,66,1,13,11,2012,2,6,Y,none,,,,1,1,0,2,80,,14.3,,7,30,O,1,0,9.7,7.5,3.5,4,,,,22.4,,L,T
EMB,N,AP88482,,WYmO,67,1,16,11,2012,2,6,Y,none,,,,1,2,0,1,78,,13.9,,8,0,O,0,0,10.8,7.8,3.8,4.1,,,24.5,22.8,,L,T
EMB,N,AP88483,,OBmP,68,1,17,11,2012,2,6,Y,none,,,,2,2,0,1,75,,14.4,,8,15,O,0,0,22.7,8.6,3.9,4.5,,,25.7,22.7,,H,T
EMB,N,,,RWxRY,68,2,12,2,2014,3,2,,,,,,1,2,0,2,76,F,15,,10,50,O,,,,,,,,,,,black,L,T
EMB,N,AP88484,,YWmP,69,1,13,2,2013,2,2,Y,none,,,,2,2,0,1,75.5,,15.1,,7,45,O,0,0,,,,,,,,,,,N
EMB,N,AP88485,,POmB,70,1,13,2,2013,2,2,Y,none,,,,2,2,0,1,75,,15.3,,7,45,O,0,0,,,,,,,,,,,N
EMB,N,AP88486,,WYmY,71,2,14,2,2013,2,2,Y,none,,,,2,2,0,1,75,,13.6,,7,0,O,2,1,,,,,,,,,,H,N
ALICE,R,,,WYxmY,71,1,30,3,2014,3,2,,,,,,1,2,0,2,76,,14.5,,7,0,,,,,,,,,,24.6,22.4,,,
EMB,N,AP88487,,WPmO,72,1,14,2,2013,2,2,Y,none,,,,2,2,0,2,75,,15.3,,7,15,O,2,2,,,,,,,,,,H,N
EMB,N,AP88488,,OLmW,73,1,14,2,2013,2,2,Y,none,,,,2,2,0,1,76,,13.3,,7,45,O,0,0,,,,,,,,,,H,N
EMB,N,AP88489,,BYmY,74,1,15,2,2013,2,2,Y,none,,,,2,2,0,2,74,,14.7,,7,15,O,0,2,,,,,,,24.9,22,,M,N
EMB,N,AP88492,,BOmW,75,1,20,2,2013,2,5,N,none,,,,1,1,0,1,76,,13.6,,7,0,O,0,0,,,,,,,25.2,22.5,,L,N
EMB,N,AP88495,,YWmYxH,76,1,22,2,2013,2,5,Y,none,,,,1,2,0,2,73,,15.4,,7,30,O,2,1,,,,,,,24.6,22,,L,N
EMB,N,AP88496,,BOmB.H,77,1,22,2,2013,2,5,Y,none,,,,2,2,0,1,75,,15.2,,8,30,O,2,2,,,,,,,23.8,21.4,,H,N
EMB,N,AP88497,,LWmL,78,1,25,2,2013,2,5,Y,none,,,,2,2,0,1,77,,13.8,,8,0,O,2,1,,,,,,,25,22.7,,H,N
EMB,N,AP88498,,BGmB,79,1,25,2,2013,2,5,Y,none,,,,2,2,0,1,74,,13.8,,8,0,O,1,2,,,,,,,24.4,21.8,,M,N
EMB,N,AP88499,,WWmY,80,1,1,3,2013,2,5,Y,none,,,,2,2,0,1,75.5,,15.6,,6,30,O,2,2,,,,,,,24.6,22.1,,H,N
EMB,N,AP87501,,BWmB,81,1,1,3,2013,2,5,N,none,,,,,2,0,2,76,,14.9,,8,30,O,2,1,,,,,,,24.4,21.7,,M,N
EMB,N,XXXXXX1,,OYmO,82,1,4,3,2013,2,5,Y,none,,,,2,1,0,1,76,,14.6,,7,30,O,3,2,,,,,,,24.6,22.1,,H,N
EMB,N,AP87502,,YWmYxJ,83,1,5,3,2013,2,1,Y,none,,,,2,2,0,2,76,,15.6,,7,0,O,2,1,,,,,,,24.3,21.8,,H,N
EMB,N,AP87503,,GYmGxJ,84,1,7,3,2013,2,1,Y,none,,,,,2,0,2,75.5,,15.3,,7,0,O,3,3,,,,,,,23.9,21.4,,L,N
EMB,N,AP87504,,OWmBxJ,85,2,8,3,2013,2,1,Y,none,,,,,2,0,1,76,,14.6,,6,30,O,2,2,,,,,,,23.4,20.8,,H,N
EMB,R,AP87504,,OWxmBR,85,1,17,2,2014,3,1,Y,3,NONE,TIE,98,1,2,0,1,78,(F),14,14.5,8,0,O,2,,,,,,AD,,,,GREY,L,T
EMB,N,none,,YBxPN.1,86,1,12,2,2013,2,2,Y,54,,,,2,1,0,2,79,,14.3,14.8,6,45,O,0,0,,,,,,,,,,H,N
EMB,N,none,,WBxPN,87,1,12,2,2013,2,2,Y,51,,,,2,2,0,2,77,,14.4,15.1,7,0,O,2,0,,,,,,,,,,H,N
EMB,R,LOG 051,,RWxRB,87,2,12,2,2014,3,2,,68,LONG,TIE,87,1,2,0,2,76,F,15,15.6,10,50,O,,,,,,,AD,,,,BLACK,L,T
EMB,N,none,,WOxPN,88,2,13,2,2013,2,2,Y,50,,,36,2,2,0,1,79,,14.8,15.2,7,0,O,1,0,,,,,,,,,,M,N
EMB,N,AP87529,,WOxRm,88,1,8,11,2013,3,2,,,,,,1,2,0,1,79.5,F,15.5,16.5,7,10,O,,,,,,,,,26,23.3,grey,L,T
EMB,N,none,,BOxPN,89,2,14,2,2013,2,2,Y,44,,,,2,2,0,2,76.5,,14.6,15.2,7,0,O,0,0,,,,,,,,,,M,N
EMB,N,AP87522,,BOxRm,89,1,1,11,2013,3,2,,,,,,1,2,0,1,78,F,14.9,15.7,7,40,O,,,,,,,,,25.2,22.4,pale,L,T
EMB,N,none,,WYxPN2,90,1,14,2,2013,2,2,Y,43,,,,2,2,0,2,77.5,,14.8,15.6,7,45,O,0,0,,,,,,,,,,H,N
EMB,N,none,,OLxPN,91,1,15,2,2013,2,2,Y,48,,,,1,2,1,2,78,,15.3,15.8,7,0,O,1,1,,,,,,,23.9,21,,L,N
EMB,N,none,,WYxPN1,92,1,15,2,2013,2,2,Y,46,,,,2,1,0,1,79,,15.7,,7,30,O,1,0,,,,,,,24.9,22.4,,M,N
EMB,N,none,,OBxPN,93,1,15,2,2013,2,2,Y,53,,,,2,1,0,1,78,,16.1,,7,30,O,0,0,,,,,,,25.1,22.8,,H,N
EMB,N,AP87526,,OBxRm,93,2,5,11,2013,3,2,,,,,,1,1,0,1,80,(M),15.9,16.6,6,30,O,,,,,,,,,24.9,22.4,yellow,M,N
EMB,N,none,,BWxNP,94,1,16,2,2013,2,2,Y,36,,,34,2,1,0,2,78,,16.2,16.7,6,45,O,3,2,,,,,,,24.8,22.3,,M,N
EMB,N,none,,OWxPN,95,1,16,2,2013,2,2,Y,32,,,34,2,,0,2,77,,15.2,15.7,7,0,O,2,2,,,,,,,24.3,22.4,,M,N
EMB,N,none,,YOxPN,96,1,16,2,2013,2,2,Y,38,,,34.5,2,,0,2,78,,15.9,16.1,7,0,O,2,1,,,,,,,25,,,H,N
EMB,N,none,,WLxPN,97,2,19,2,2013,2,5,Y,24,,,34,2,1,0,2,77,,15.3,15.9,7,0,O,2,3,,,,,,,24.6,21.8,,H,N
EMB,N,AP87528,,WLxRm,97,1,7,11,2013,3,5,,,,,,1,1,0,1,79,F,14.9,15.6,7,0,O,,,,,,,,,24.4,22,pale,L,T
EMB,N,none,,BYxPN,98,1,19,2,2013,2,5,Y,35,,,33.5,2,,0,2,77.5,,15.1,15.7,7,0,O,3,2,,,,,,,24,21.4,,M,N
EMB,N,none,,OYxPN,99,1,19,2,2013,2,5,Y,26,,,36,1,2,0,2,77,,16.2,16.8,7,30,O,2,1,,,,,,,24.3,21.8,,L,N
EMB,N,none,,BLxPN,100,1,20,2,2013,2,5,Y,39,,,35,1,1,0,2,78,,14.8,15.3,6,45,O,0,0,,,,,,,24.9,21.9,,L,N
EMB,N,none,,YWxPN,101,1,21,2,2013,2,5,Y,34,,,35,1,2,0,2,78.5,,13.9,14.7,6,45,O,0,0,,,,,,,25.2,22.3,,L,N
EMB,N,none,,LBxPN,102,1,21,2,2013,2,5,Y,47,,,36,1,1,0,1,80.5,,15.3,15.9,6,45,O,2,1,,,,,,,,,,L,N
EMB,N,none,,LOxPN,103,1,21,2,2013,2,5,Y,52,,,35,1,2,0,1,80,,16,16,7,45,O,0,0,,,,,,,25.9,23,,L,N
EMB,N,none,,WNxPN,104,1,21,2,2013,2,5,N,28,,,35,2,1,0,2,79.5,,16.3,16.9,9,0,O,3,2,,,,,,,25.2,23.1,,H,N
EMB,N,none,,LYxPN,105,1,22,2,2013,2,5,Y,23,,,35,2,1,0,2,79,,15.8,16.4,6,45,O,3,1,,,,,,,25.3,22.9,,M,N
EMB,N,AP87115,,LYxRm,105,2,29,11,2013,3,5,,,,,,1,1,0,1,80,(M),16.6,16.6,8,20,O,,,,,,,,,25.5,23.1,yellow/black,L,T
EMB,N,none,,YNxPN,106,1,22,2,2013,2,5,Y,33,,,37,1,1,0,1,76.5,,16.9,,7,45,O,2,2,,,,,,,24.5,22.1,,L,N
EMB,N,none,,BxOPN1,107,1,22,2,2013,2,5,Y,41,,,34.5,2,1,0,1,78.5,,14.9,15.4,8,30,O,2,1,,,,,,,24.1,21.8,,L,N
EMB,N,AP87523,,RBxOm,107,2,2,11,2013,3,5,,,,,,1,1,0,1,79.5,M,14.5,15.2,7,40,O,,,,,,,,,24,21.4,grey,L,N
EMB,N,none,,OxWPN,108,1,22,2,2013,2,5,Y,21,,,36,1,1,0,1,80,,16.1,16.7,8,30,O,1,0,,,,,,,25.2,22.8,,L,N
EMB,N,none,,BxOPN2,109,1,25,2,2013,2,5,N,37,,,34,,2,0,2,77,,14,14.7,7,0,O,2,0,,,,,,,24,21.3,,M,N
EMB,N,none,,LxYPN,110,1,25,2,2013,2,5,Y,31,,,35,2,1,0,1,78.5,,14.8,15.3,7,0,O,3,2,,,,,,,23.5,20.9,,H,N
EMB,N,none,,WxBPN,111,1,25,2,2013,2,5,Y,25,,,36,2,1,0,1,79,,15.4,16,8,30,O,2,2,,,,,,,23.7,21,,H,N
EMB,N,none,,LxPNY,112,1,25,2,2013,2,5,Y,16,,,35,2,1,0,1,78,,15.8,16.8,9,0,O,3,2,,,,,,,25.6,23,,H,N
EMB,N,none,,BxYPN,113,1,2,3,2013,2,5,N,45,,,35,,1,0,1,78,,16.4,16.9,7,15,O,2,2,,,,,,,25.4,22.8,,M,N
EMB,N,none,,WxOPN,114,1,2,3,2013,2,5,Y,27,,,36,2,1,0,1,79,,15.6,16,7,15,O,3,2,,,,,,,25,22.7,,,N
EMB,N,none,,LWxPN,115,1,2,3,2013,2,5,Y,19,,,36,1,1,0,1,80,,16.5,16.9,7,30,O,3,2,,,,,,,24.6,21,,L,N
EMB,N,none,,WxYPN,116,1,2,3,2013,2,5,Y,22,,,34,1,1,0,1,79,,14.1,14.4,7,30,O,3,2,,,,,,,24.4,22.1,,L,N
EMB,N,none,,YxLPN,117,1,2,3,2013,2,5,N,18,,,35,,2,0,2,80,,16.1,16.5,8,30,O,3,3,,,,,,,24.8,22.6,,M,N
EMB,N,none,,OxBPN,118,2,2,3,2013,2,5,Y,40,,,33,,2,0,1,79,,16.1,16.4,9,0,O,3,3,,,,,,,24.2,22,,M,N
EMB,N,AP87527,,OmxRB,118,1,6,11,2013,3,5,,,,,,1,2,0,1,80,F,15.6,16.4,7,0,O,,,,,,,,,24.5,21.9,pale,H,T
EMB,N,none,,YxWPN,119,1,4,3,2013,2,5,N,15,,,34,2,1,0,1,78,,15.4,16.2,7,0,O,3,2,,,,,,,25.5,23.1,,H,N
